"","airport_id","name","city","country","iata","icao","latitude","longitude","altitude","timezone","dst","database_timezone","type","source"
"HVG",4326,"Valan Airport","Honningsvag","Norway","HVG","ENHV",71.009696960449,25.983600616455,44,"1","E","Europe/Oslo","airport","OurAirports"
"MEH",4327,"Mehamn Airport","Mehamn","Norway","MEH","ENMH",71.02970123291,27.826700210571,39,"1","E","Europe/Oslo","airport","OurAirports"
"VDS",4328,"Vadsø Airport","Vadsø","Norway","VDS","ENVD",70.065299987793,29.844699859619,127,"1","E","Europe/Oslo","airport","OurAirports"
"IKA",4330,"Imam Khomeini International Airport","Tehran","Iran","IKA","OIIE",35.4160995483398,51.1521987915039,3305,"3.5","E","Asia/Tehran","airport","OurAirports"
"MHD",4331,"Mashhad International Airport","Mashhad","Iran","MHD","OIMM",36.2351989746094,59.640998840332,3263,"3.5","E","Asia/Tehran","airport","OurAirports"
"UIK",4333,"Ust-Ilimsk Airport","Ust Ilimsk","Russia","UIK","UIBS",58.136100769043,102.565002441406,1339,"8","N","Asia/Irkutsk","airport","OurAirports"
"MEI",4335,"Key Field","Meridian","United States","MEI","KMEI",32.3325996398926,-88.7518997192383,297,"-6","A","America/Chicago","airport","OurAirports"
"SPI",4336,"Abraham Lincoln Capital Airport","Springfield","United States","SPI","KSPI",39.84410095,-89.67790222,598,"-6","A","America/Chicago","airport","OurAirports"
"CEZ",4338,"Cortez Municipal Airport","Cortez","United States","CEZ","KCEZ",37.3030014038,-108.627998352,5918,"-7","A","America/Denver","airport","OurAirports"
"HDN",4339,"Yampa Valley Airport","Hayden","United States","HDN","KHDN",40.48120117,-107.2180023,6606,"-7","A","America/Denver","airport","OurAirports"
"GUP",4340,"Gallup Municipal Airport","Gallup","United States","GUP","KGUP",35.511100769,-108.789001465,6472,"-7","A","America/Denver","airport","OurAirports"
"LBL",4341,"Liberal Mid-America Regional Airport","Liberal","United States","LBL","KLBL",37.0442009,-100.9599991,2885,"-6","A","America/Chicago","airport","OurAirports"
"LAA",4342,"Lamar Municipal Airport","Lamar","United States","LAA","KLAA",38.0696983337,-102.68800354,3706,"-7","A","America/Denver","airport","OurAirports"
"GLD",4343,"Renner Field-Goodland Municipal Airport","Goodland","United States","GLD","KGLD",39.37060165,-101.6989975,3656,"-7","A","America/Denver","airport","OurAirports"
"COD",4344,"Yellowstone Regional Airport","Cody","United States","COD","KCOD",44.520198822,-109.024002075,5102,"-7","A","America/Denver","airport","OurAirports"
"HOV",4345,"Ørsta-Volda Airport, Hovden","Orsta-Volda","Norway","HOV","ENOV",62.180000305176,6.0741000175476,243,"1","E","Europe/Oslo","airport","OurAirports"
"ISC",4347,"St. Mary's Airport","ST MARY\'S","United Kingdom","ISC","EGHE",49.9132995605469,-6.29166984558105,116,"0","E","Europe/London","airport","OurAirports"
"SGF",4348,"Springfield Branson National Airport","Springfield","United States","SGF","KSGF",37.24570084,-93.38860321,1268,"-6","A","America/Chicago","airport","OurAirports"
"NVK",4349,"Narvik Framnes Airport","Narvik","Norway","NVK","ENNK",68.436897277832,17.386699676514,95,"1","E","Europe/Oslo","airport","OurAirports"
"BVG",4350,"Berlevåg Airport","Berlevag","Norway","BVG","ENBV",70.871399,29.034201,42,"1","E","Europe/Oslo","airport","OurAirports"
"FBU",4351,"Oslo, Fornebu Airport","Oslo","Norway","FBU","ENFB",59.8958015441895,10.6171998977661,0,"1","E","Europe/Oslo","airport","OurAirports"
"NSK",4352,"Norilsk-Alykel Airport","Norilsk","Russia","NSK","UOOO",69.3110961914062,87.3321990966797,574,"7","N","Asia/Krasnoyarsk","airport","OurAirports"
"AAQ",4353,"Anapa Vityazevo Airport","Anapa","Russia","AAQ","URKA",45.002101898193,37.347301483154,174,"3","N","Europe/Moscow","airport","OurAirports"
"JLN",4354,"Joplin Regional Airport","Joplin","United States","JLN","KJLN",37.151798248291,-94.4982986450195,981,"-6","A","America/Chicago","airport","OurAirports"
"ABE",4355,"Lehigh Valley International Airport","Allentown","United States","ABE","KABE",40.652099609375,-75.440803527832,393,"-5","A","America/New_York","airport","OurAirports"
"XNA",4356,"Northwest Arkansas Regional Airport","Bentonville","United States","XNA","KXNA",36.281898,-94.306801,1287,"-6","A","America/Chicago","airport","OurAirports"
"GUW",4357,"Atyrau Airport","Atyrau","Kazakhstan","GUW","UATG",47.121898651123,51.8213996887207,-72,"5","U","Asia/Oral","airport","OurAirports"
"KZO",4358,"Kzyl-Orda Southwest Airport","Kzyl-Orda","Kazakhstan","KZO","UAOO",44.706902,65.592499,433,"6","U","Asia/Qyzylorda","airport","OurAirports"
"SBN",4359,"South Bend Regional Airport","South Bend","United States","SBN","KSBN",41.7086982727051,-86.3172988891602,799,"-5","A","America/New_York","airport","OurAirports"
"BKA",4360,"Bykovo Airport","Moscow","Russia","BKA","UUBB",55.6171989441,38.0600013733,427,"3","N","Europe/Moscow","airport","OurAirports"
"ARH",4362,"Talagi Airport","Arkhangelsk","Russia","ARH","ULAA",64.6003036499023,40.7167015075684,62,"3","N","Europe/Moscow","airport","OurAirports"
"RTW",4363,"Saratov Central Airport","Saratov","Russia","RTW","UWSS",51.564998626709,46.0466995239258,499,"3","N","Europe/Moscow","airport","OurAirports"
"NUX",4364,"Novy Urengoy Airport","Novy Urengoy","Russia","NUX","USMU",66.0693969726562,76.5203018188477,210,"5","N","Asia/Yekaterinburg","airport","OurAirports"
"NOJ",4365,"Noyabrsk Airport","Noyabrsk","Russia","NOJ","USRO",63.1833000183105,75.2699966430664,446,"5","N","Asia/Yekaterinburg","airport","OurAirports"
"SCO",4367,"Aktau Airport","Aktau","Kazakhstan","SCO","UATE",43.8601,51.091999,73,"5","U","Asia/Oral","airport","OurAirports"
"UCT",4368,"Ukhta Airport","Ukhta","Russia","UCT","UUYH",63.5668983459473,53.8046989440918,482,"3","N","Europe/Moscow","airport","OurAirports"
"USK",4369,"Usinsk Airport","Usinsk","Russia","USK","UUYS",66.0046997070312,57.3671989440918,262,"3","N","Europe/Moscow","airport","OurAirports"
"PEX",4370,"Pechora Airport","Pechora","Russia","PEX","UUYP",65.1211013793945,57.1307983398438,98,"3","N","Europe/Moscow","airport","OurAirports"
"NNM",4371,"Naryan Mar Airport","Naryan-Mar","Russia","NNM","ULAM",67.6399993896484,53.121898651123,36,"3","N","Europe/Moscow","airport","OurAirports"
"PKV",4372,"Pskov Airport","Pskov","Russia","PKV","ULOO",57.7839012145996,28.3955993652344,154,"3","N","Europe/Moscow","airport","OurAirports"
"KGP",4373,"Kogalym International Airport","Kogalym","Russia","KGP","USRK",62.1903991699219,74.5337982177734,220,"5","N","Asia/Yekaterinburg","airport","OurAirports"
"KJA",4374,"Yemelyanovo Airport","Krasnoyarsk","Russia","KJA","UNKL",56.172901,92.493301,942,"7","N","Asia/Krasnoyarsk","airport","OurAirports"
"KGF",4375,"Sary-Arka Airport","Karaganda","Kazakhstan","KGF","UAKK",49.6707992553711,73.3343963623047,1765,"6","U","Asia/Qyzylorda","airport","OurAirports"
"URJ",4377,"Uray Airport","Uraj","Russia","URJ","USHU",60.1032981872559,64.8266983032227,190,"5","N","Asia/Yekaterinburg","airport","OurAirports"
"IWA",4379,"Ivanovo South Airport","Ivanovo","Russia","IWA","UUBI",56.9393997192383,40.9407997131348,410,"3","N","Europe/Moscow","airport","OurAirports"
"CGQ",4380,"Longjia Airport","Changchun","China","CGQ","ZYCC",43.9962005615,125.684997559,706,"8","U","Asia/Shanghai","airport","OurAirports"
"KIJ",4381,"Niigata Airport","Niigata","Japan","KIJ","RJSN",37.9558982849,139.121002197,29,"9","U","Asia/Tokyo","airport","OurAirports"
"JON",4382,"Johnston Atoll Airport","Johnston Island","Johnston Atoll","JON","PJON",16.7285995483,-169.533996582,7,"-10","U","Pacific/Johnston","airport","OurAirports"
"SMD",4383,"Smith Field","Fort Wayne IN","United States","SMD","KSMD",41.14339828,-85.15280151,835,"-5","A","America/New_York","airport","OurAirports"
"ACV",4384,"California Redwood Coast-Humboldt County Airport","Arcata CA","United States","ACV","KACV",40.978101,-124.109,221,"-8","A","America/Los_Angeles","airport","OurAirports"
"OAJ",4386,"Albert J Ellis Airport","Jacksonville NC","United States","OAJ","KOAJ",34.8292007446,-77.6120986938,94,"-5","A","America/New_York","airport","OurAirports"
"TCL",4387,"Tuscaloosa Regional Airport","Tuscaloosa AL","United States","TCL","KTCL",33.220600128174,-87.611396789551,170,"-6","A","America/Chicago","airport","OurAirports"
"DBQ",4388,"Dubuque Regional Airport","Dubuque IA","United States","DBQ","KDBQ",42.40200043,-90.70950317,1077,"-6","A","America/Chicago","airport","OurAirports"
"HHP",4390,"Shun Tak Heliport","Hong Kong","Hong Kong","HHP","VHST",22.2893714905,114.152153015,107,"8","N","Asia/Hong_Kong","airport","OurAirports"
"ATD",5404,"Uru Harbour Airport","Atoifi","Solomon Islands","ATD","AGAT",-8.87333,161.011002,0,"11","U","Pacific/Guadalcanal","airport","OurAirports"
"AKS",5405,"Gwaunaru'u Airport","Auki","Solomon Islands","AKS","AGGA",-8.70257,160.682007,5,"11","U","Pacific/Guadalcanal","airport","OurAirports"
"BAS",5406,"Ballalae Airport","Ballalae","Solomon Islands","BAS","AGGE",-6.990745,155.886656,5,"11","U","Pacific/Guadalcanal","airport","OurAirports"
"FRE",5407,"Fera/Maringe Airport","Fera Island","Solomon Islands","FRE","AGGF",-8.1075,159.576996,0,"11","U","Pacific/Guadalcanal","airport","OurAirports"
"MBU",5408,"Babanakira Airport","Mbambanakira","Solomon Islands","MBU","AGGI",-9.7475004196167,159.839004516602,0,"11","U","Pacific/Guadalcanal","airport","OurAirports"
"IRA",5409,"Ngorangora Airport","Kirakira","Solomon Islands","IRA","AGGK",-10.4497003555,161.897994995,54,"11","U","Pacific/Guadalcanal","airport","OurAirports"
"SCZ",5410,"Santa Cruz/Graciosa Bay/Luova Airport","Santa Cruz/Graciosa Bay/Luova","Solomon Islands","SCZ","AGGL",-10.7202997207642,165.794998168945,18,"11","U","Pacific/Guadalcanal","airport","OurAirports"
"MUA",5411,"Munda Airport","Munda","Solomon Islands","MUA","AGGM",-8.32796955108643,157.263000488281,10,"11","U","Pacific/Guadalcanal","airport","OurAirports"
"GZO",5412,"Nusatupe Airport","Gizo","Solomon Islands","GZO","AGGN",-8.09778022766,156.863998413,13,"11","U","Pacific/Guadalcanal","airport","OurAirports"
"MNY",5413,"Mono Airport","Stirling Island","Solomon Islands","MNY","AGGO",-7.41694021224976,155.565002441406,0,"11","U","Pacific/Guadalcanal","airport","OurAirports"
"RNL",5414,"Rennell/Tingoa Airport","Rennell Island","Solomon Islands","RNL","AGGR",-11.5339002609253,160.063003540039,0,"11","U","Pacific/Guadalcanal","airport","OurAirports"
"RUS",5415,"Marau Airport","Marau","Solomon Islands","RUS","AGGU",-9.86166954041,160.824996948,0,"11","U","Pacific/Guadalcanal","airport","OurAirports"
"VAO",5416,"Suavanao Airport","Suavanao","Solomon Islands","VAO","AGGV",-7.5855598449707,158.731002807617,0,"11","U","Pacific/Guadalcanal","airport","OurAirports"
"KGE",5417,"Kaghau Airport","Kagau Island","Solomon Islands","KGE","AGKG",-7.3305,157.585,30,"11","U","Pacific/Guadalcanal","airport","OurAirports"
"RBV",5418,"Ramata Airport","Ramata","Solomon Islands","RBV","AGRM",-8.16806030273438,157.643005371094,0,"11","U","Pacific/Guadalcanal","airport","OurAirports"
"BUA",5419,"Buka Airport","Buka Island","Papua New Guinea","BUA","AYBK",-5.4223198890686,154.673004150391,11,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"CMU",5420,"Chimbu Airport","Kundiawa","Papua New Guinea","CMU","AYCH",-6.02429008483887,144.970993041992,4974,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"DAU",5421,"Daru Airport","Daru","Papua New Guinea","DAU","AYDU",-9.08675956726,143.207992554,20,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"GUR",5422,"Gurney Airport","Gurney","Papua New Guinea","GUR","AYGN",-10.3114995956,150.333999634,88,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"PNP",5423,"Girua Airport","Girua","Papua New Guinea","PNP","AYGR",-8.80453968048,148.309005737,311,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"HKN",5424,"Kimbe Airport","Hoskins","Papua New Guinea","HKN","AYHK",-5.46217012405396,150.404998779297,66,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"UNG",5425,"Kiunga Airport","Kiunga","Papua New Guinea","UNG","AYKI",-6.12571001052856,141.281997680664,88,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"KRI",5426,"Kikori Airport","Kikori","Papua New Guinea","KRI","AYKK",-7.42437982559204,144.250076293945,50,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"KMA",5427,"Kerema Airport","Kerema","Papua New Guinea","KMA","AYKM",-7.96361017227,145.770996094,10,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"KVG",5428,"Kavieng Airport","Kavieng","Papua New Guinea","KVG","AYKV",-2.57940006256,150.807998657,7,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"MDU",5429,"Mendi Airport","Mendi","Papua New Guinea","MDU","AYMN",-6.14774,143.656998,5680,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"MAS",5430,"Momote Airport","Momote","Papua New Guinea","MAS","AYMO",-2.06189,147.423996,12,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"MXH",5431,"Moro Airport","Moro","Papua New Guinea","MXH","AYMR",-6.36332988739,143.238006592,2740,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"MIS",5432,"Misima Island Airport","Misima Island","Papua New Guinea","MIS","AYMS",-10.6892004013,152.837997437,26,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"TIZ",5433,"Tari Airport","Tari","Papua New Guinea","TIZ","AYTA",-5.84499979019,142.947998047,5500,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"TBG",5434,"Tabubil Airport","Tabubil","Papua New Guinea","TBG","AYTB",-5.27861,141.225998,1570,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"RAB",5435,"Tokua Airport","Tokua","Papua New Guinea","RAB","AYTK",-4.34045982361,152.380004883,32,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"VAI",5436,"Vanimo Airport","Vanimo","Papua New Guinea","VAI","AYVN",-2.6926,141.3028,10,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"WBM",5437,"Wapenamanda Airport","Wapenamanda","Papua New Guinea","WBM","AYWD",-5.64330005645752,143.895004272461,5889,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"LLU",5438,"Alluitsup Paa Heliport","Alluitsup Paa","Greenland","LLU","BGAP",60.46445,-45.56917,54,"-3","E","America/Godthab","airport","OurAirports"
"CNP",5439,"Neerlerit Inaat Airport","Neerlerit Inaat","Greenland","CNP","BGCO",70.7431030273,-22.6504993439,45,"-1","E","America/Scoresbysund","airport","OurAirports"
"JFR",5440,"Paamiut Heliport","Paamiut","Greenland","JFR","BGFH",61.9921989441,-49.6624984741,63,"-3","E","America/Godthab","airport","OurAirports"
"JGO",5441,"Qeqertarsuaq Heliport","Qeqertarsuaq Airport","Greenland","JGO","BGGN",69.251181993,-53.5148763657,9,"-3","E","America/Godthab","airport","OurAirports"
"JJU",5442,"Qaqortoq Heliport","Qaqortoq","Greenland","JJU","BGJH",60.7156841553,-46.0299186409,53,"-3","E","America/Godthab","airport","OurAirports"
"JSU",5443,"Maniitsoq Airport","Maniitsoq","Greenland","JSU","BGMQ",65.4124984741,-52.9393997192,91,"-3","E","America/Godthab","airport","OurAirports"
"JNN",5444,"Nanortalik Heliport","Nanortalik","Greenland","JNN","BGNN",60.1418839759,-45.232976675,17,"-3","E","America/Godthab","airport","OurAirports"
"JNS",5445,"Narsaq Heliport","Narsaq","Greenland","JNS","BGNS",60.9172827256,-46.059923172,83,"-3","E","America/Godthab","airport","OurAirports"
"NAQ",5446,"Qaanaaq Airport","Qaanaaq","Greenland","NAQ","BGQQ",77.4886016846,-69.3887023926,51,"-4","E","America/Thule","airport","OurAirports"
"JHS",5447,"Sisimiut Airport","Sisimiut","Greenland","JHS","BGSS",66.9513015747,-53.7293014526,33,"-3","E","America/Godthab","airport","OurAirports"
"JUV",5448,"Upernavik Airport","Upernavik","Greenland","JUV","BGUK",72.7901992798,-56.1305999756,414,"-3","E","America/Godthab","airport","OurAirports"
"JQA",5449,"Qaarsut Airport","Uummannaq","Greenland","JQA","BGUQ",70.7341995239,-52.6962013245,289,"-3","E","America/Godthab","airport","OurAirports"
"GRY",5450,"Grímsey Airport","Grímsey","Iceland","GRY","BIGR",66.5458,-18.0173,66,"0","N","Atlantic/Reykjavik","airport","OurAirports"
"THO",5452,"Thorshofn Airport","Thorshofn","Iceland","THO","BITN",66.2184982299805,-15.335599899292,65,"0","N","Atlantic/Reykjavik","airport","OurAirports"
"VPN",5453,"Vopnafjörður Airport","Vopnafjörður","Iceland","VPN","BIVO",65.7205963134766,-14.8506002426147,16,"0","N","Atlantic/Reykjavik","airport","OurAirports"
"YWS",5456,"Whistler/Green Lake Water Aerodrome","Whistler","Canada","YWS","CAE5",50.1436004639,-122.948997498,2100,"-8","A","America/Vancouver","airport","OurAirports"
"YAA",5457,"Anahim Lake Airport","Anahim Lake","Canada","YAA","CAJ4",52.4524993896484,-125.303001403809,3635,"-8","A","America/Vancouver","airport","OurAirports"
"YWM",5458,"Williams Harbour Airport","Williams Harbour","Canada","YWM","CCA6",52.5668983459473,-55.7846984863281,70,"-3.5","A","America/St_Johns","airport","OurAirports"
"YFX",5459,"St. Lewis (Fox Harbour) Airport","St. Lewis","Canada","YFX","CCK4",52.3727989196777,-55.673900604248,74,"-3.5","A","America/St_Johns","airport","OurAirports"
"YHA",5460,"Port Hope Simpson Airport","Port Hope Simpson","Canada","YHA","CCP4",52.5280990600586,-56.2860984802246,347,"-3.5","A","America/St_Johns","airport","OurAirports"
"YRG",5461,"Rigolet Airport","Rigolet","Canada","YRG","CCZ2",54.1796989440918,-58.4575004577637,180,"-4","A","America/Halifax","airport","OurAirports"
"YCK",5462,"Colville Lake Airport","Colville Lake","Canada","YCK","CEB3",67.0392,-126.08,850,"-7","A","America/Edmonton","airport","OurAirports"
"YLE",5463,"Whatì Airport","Whatì","Canada","YLE","CEM3",63.1316986083984,-117.246002197266,882,"-7","A","America/Edmonton","airport","OurAirports"
"SUR",5464,"Summer Beaver Airport","Summer Beaver","Canada","SUR","CJV7",52.7085990905762,-88.5419006347656,832,"-5","A","America/Toronto","airport","OurAirports"
"YAX",5465,"Wapekeka Airport","Angling Lake","Canada","YAX","CKB6",53.8492012023926,-89.5793991088867,712,"-6","A","America/Winnipeg","airport","OurAirports"
"WNN",5466,"Wunnumin Lake Airport","Wunnumin Lake","Canada","WNN","CKL3",52.8939018249512,-89.2891998291016,819,"-5","A","America/Toronto","airport","OurAirports"
"YNO",5467,"North Spirit Lake Airport","North Spirit Lake","Canada","YNO","CKQ3",52.4900016784668,-92.9710998535156,1082,"-6","A","America/Winnipeg","airport","OurAirports"
"XBE",5468,"Bearskin Lake Airport","Bearskin Lake","Canada","XBE","CNE3",53.9655990600586,-91.0271987915039,800,"-6","A","America/Winnipeg","airport","OurAirports"
"KIF",5469,"Kingfisher Lake Airport","Kingfisher Lake","Canada","KIF","CNM5",53.0125007629395,-89.8553009033203,866,"-5","A","America/Toronto","airport","OurAirports"
"YOG",5470,"Ogoki Post Airport","Ogoki Post","Canada","YOG","CNT3",51.6585998535,-85.9017028809,594,"-5","A","America/Toronto","airport","OurAirports"
"YHP",5471,"Poplar Hill Airport","Poplar Hill","Canada","YHP","CPV7",52.1133,-94.2556,1095,"-6","A","America/Winnipeg","airport","OurAirports"
"YKU",5472,"Chisasibi Airport","Chisasibi","Canada","YKU","CSU2",53.8055992126465,-78.9169006347656,43,"-5","A","America/Toronto","airport","OurAirports"
"ZTB",5473,"Tête-à-la-Baleine Airport","Tête-à-la-Baleine","Canada","ZTB","CTB6",50.6744003295898,-59.3835983276367,107,"-4","A","America/Blanc-Sablon","airport","OurAirports"
"ZLT",5474,"La Tabatière Airport","La Tabatière","Canada","ZLT","CTU5",50.8307991027832,-58.9756011962891,102,"-4","A","America/Blanc-Sablon","airport","OurAirports"
"YAC",5478,"Cat Lake Airport","Cat Lake","Canada","YAC","CYAC",51.7271995544434,-91.8244018554688,1344,"-6","A","America/Winnipeg","airport","OurAirports"
"YAG",5479,"Fort Frances Municipal Airport","Fort Frances","Canada","YAG","CYAG",48.6542015075684,-93.439697265625,1125,"-6","A","America/Winnipeg","airport","OurAirports"
"XKS",5480,"Kasabonika Airport","Kasabonika","Canada","XKS","CYAQ",53.5247001647949,-88.6427993774414,672,"-5","A","America/Toronto","airport","OurAirports"
"YKG",5481,"Kangirsuk Airport","Kangirsuk","Canada","YKG","CYAS",60.0271987915039,-69.9991989135742,403,"-5","A","America/Toronto","airport","OurAirports"
"YAT",5482,"Attawapiskat Airport","Attawapiskat","Canada","YAT","CYAT",52.9275016784668,-82.4319000244141,31,"-5","A","America/Toronto","airport","OurAirports"
"YBE",5484,"Uranium City Airport","Uranium City","Canada","YBE","CYBE",59.5614013671875,-108.481002807617,1044,"-6","N","America/Regina","airport","OurAirports"
"YBX",5485,"Lourdes de Blanc Sablon Airport","Lourdes-De-Blanc-Sablon","Canada","YBX","CYBX",51.4435997009,-57.1852989197,121,"-4","A","America/Blanc-Sablon","airport","OurAirports"
"YRF",5486,"Cartwright Airport","Cartwright","Canada","YRF","CYCA",53.6828002929688,-57.0419006347656,40,"-4","A","America/Halifax","airport","OurAirports"
"YCS",5487,"Chesterfield Inlet Airport","Chesterfield Inlet","Canada","YCS","CYCS",63.3469009399,-90.7311019897,32,"-6","A","America/Winnipeg","airport","OurAirports"
"YDP",5488,"Nain Airport","Nain","Canada","YDP","CYDP",56.5491981506348,-61.6803016662598,22,"-4","A","America/Halifax","airport","OurAirports"
"YER",5489,"Fort Severn Airport","Fort Severn","Canada","YER","CYER",56.0189018249512,-87.6761016845703,48,"-5","A","America/Toronto","airport","OurAirports"
"YFA",5490,"Fort Albany Airport","Fort Albany","Canada","YFA","CYFA",52.2014007568359,-81.6968994140625,48,"-5","A","America/Toronto","airport","OurAirports"
"YFH",5491,"Fort Hope Airport","Fort Hope","Canada","YFH","CYFH",51.5619010925293,-87.9077987670898,899,"-5","A","America/Toronto","airport","OurAirports"
"YMN",5492,"Makkovik Airport","Makkovik","Canada","YMN","CYFT",55.0769004821777,-59.1864013671875,234,"-4","A","America/Halifax","airport","OurAirports"
"YGB",5493,"Texada Gillies Bay Airport","Texada","Canada","YGB","CYGB",49.6941986083984,-124.517997741699,326,"-8","A","America/Vancouver","airport","OurAirports"
"YGO",5494,"Gods Lake Narrows Airport","Gods Lake Narrows","Canada","YGO","CYGO",54.5588989257812,-94.4914016723633,617,"-6","A","America/Winnipeg","airport","OurAirports"
"YGT",5495,"Igloolik Airport","Igloolik","Canada","YGT","CYGT",69.3647003174,-81.8161010742,174,"-5","A","America/Toronto","airport","OurAirports"
"YGW",5496,"Kuujjuarapik Airport","Kuujjuarapik","Canada","YGW","CYGW",55.2818984985351,-77.7652969360352,34,"-5","A","America/Toronto","airport","OurAirports"
"YGX",5497,"Gillam Airport","Gillam","Canada","YGX","CYGX",56.3574981689453,-94.7106018066406,476,"-6","A","America/Winnipeg","airport","OurAirports"
"YGZ",5498,"Grise Fiord Airport","Grise Fiord","Canada","YGZ","CYGZ",76.4261016846,-82.9092025757,146,"-5","A","America/Toronto","airport","OurAirports"
"YQC",5499,"Quaqtaq Airport","Quaqtaq","Canada","YQC","CYHA",61.0463981628418,-69.6177978515625,103,"-5","A","America/Toronto","airport","OurAirports"
"CXH",5500,"Vancouver Harbour Water Aerodrome","Vancouver","Canada","CXH","CYHC",49.2943992615,-123.111000061,0,"-8","A","America/Vancouver","airport","OurAirports"
"YNS",5501,"Nemiscau Airport","Nemiscau","Canada","YNS","CYHH",51.6911010742188,-76.1355972290039,802,"-5","A","America/Toronto","airport","OurAirports"
"YHO",5502,"Hopedale Airport","Hopedale","Canada","YHO","CYHO",55.448299407959,-60.2285995483398,39,"-4","A","America/Halifax","airport","OurAirports"
"YHR",5503,"Chevery Airport","Chevery","Canada","YHR","CYHR",50.4688987731934,-59.6366996765137,39,"-4","A","America/Blanc-Sablon","airport","OurAirports"
"YIK",5504,"Ivujivik Airport","Ivujivik","Canada","YIK","CYIK",62.4173011779785,-77.9253005981445,126,"-5","A","America/Toronto","airport","OurAirports"
"YIV",5505,"Island Lake Airport","Island Lake","Canada","YIV","CYIV",53.8572006225586,-94.6536026000977,770,"-6","A","America/Winnipeg","airport","OurAirports"
"AKV",5506,"Akulivik Airport","Akulivik","Canada","AKV","CYKO",60.8185997009277,-78.1485977172852,75,"-5","A","America/Toronto","airport","OurAirports"
"YKQ",5507,"Waskaganish Airport","Waskaganish","Canada","YKQ","CYKQ",51.4733009338379,-78.75830078125,80,"-5","A","America/Toronto","airport","OurAirports"
"YPJ",5508,"Aupaluk Airport","Aupaluk","Canada","YPJ","CYLA",59.2966995239258,-69.5997009277344,119,"-5","A","America/Toronto","airport","OurAirports"
"YLC",5509,"Kimmirut Airport","Kimmirut","Canada","YLC","CYLC",62.8499984741,-69.8833007812,175,"-5","A","America/Toronto","airport","OurAirports"
"YLH",5510,"Lansdowne House Airport","Lansdowne House","Canada","YLH","CYLH",52.1955986022949,-87.934196472168,834,"-5","A","America/Toronto","airport","OurAirports"
"XGR",5512,"Kangiqsualujjuaq (Georges River) Airport","Kangiqsualujjuaq","Canada","XGR","CYLU",58.7113990783691,-65.9927978515625,215,"-5","A","America/Toronto","airport","OurAirports"
"YMH",5513,"Mary's Harbour Airport","Mary's Harbour","Canada","YMH","CYMH",52.3027992248535,-55.8471984863281,38,"-3.5","A","America/St_Johns","airport","OurAirports"
"YMT",5514,"Chapais Airport","Chibougamau","Canada","YMT","CYMT",49.771900177002,-74.5280990600586,1270,"-5","A","America/Toronto","airport","OurAirports"
"YUD",5515,"Umiujaq Airport","Umiujaq","Canada","YUD","CYMU",56.5360984802246,-76.5183029174805,250,"-5","A","America/Toronto","airport","OurAirports"
"YNC",5516,"Wemindji Airport","Wemindji","Canada","YNC","CYNC",53.0106010437012,-78.8311004638672,66,"-5","A","America/Toronto","airport","OurAirports"
"YNE",5517,"Norway House Airport","Norway House","Canada","YNE","CYNE",53.9583015441895,-97.8442001342773,734,"-6","A","America/Winnipeg","airport","OurAirports"
"YNL",5518,"Points North Landing Airport","Points North Landing","Canada","YNL","CYNL",58.2766990661621,-104.082000732422,1605,"-6","N","America/Regina","airport","OurAirports"
"YOH",5519,"Oxford House Airport","Oxford House","Canada","YOH","CYOH",54.9333000183105,-95.2789001464844,663,"-6","A","America/Winnipeg","airport","OurAirports"
"YPH",5520,"Inukjuak Airport","Inukjuak","Canada","YPH","CYPH",58.4719009399414,-78.0768966674805,83,"-5","A","America/Toronto","airport","OurAirports"
"YPM",5521,"Pikangikum Airport","Pikangikum","Canada","YPM","CYPM",51.8196983337402,-93.9732971191406,1114,"-6","A","America/Winnipeg","airport","OurAirports"
"YPO",5522,"Peawanuck Airport","Peawanuck","Canada","YPO","CYPO",54.9880981445312,-85.4432983398438,173,"-5","A","America/Toronto","airport","OurAirports"
"YPW",5523,"Powell River Airport","Powell River","Canada","YPW","CYPW",49.8342018127441,-124.5,425,"-8","A","America/Vancouver","airport","OurAirports"
"YQD",5524,"The Pas Airport","The Pas","Canada","YQD","CYQD",53.9714012145996,-101.091003417969,887,"-6","A","America/Winnipeg","airport","OurAirports"
"YQN",5525,"Nakina Airport","Nakina","Canada","YQN","CYQN",50.1828002929688,-86.696403503418,1057,"-5","A","America/Toronto","airport","OurAirports"
